Customer ID,Arrival,Time to check out,Departure Time,Total wait,Line Number
2,2,3,5,3,0
5,5,3,10,5,0
8,8,3,15,7,0
11,11,3,20,9,0
14,14,3,25,11,0
17,17,3,30,13,0
20,20,3,35,15,0
23,23,3,40,17,0
26,26,3,45,19,0
29,29,3,50,21,0
32,32,3,55,23,0
35,35,3,60,25,0
38,38,3,65,27,0
41,41,3,70,29,0
44,44,3,75,31,0
47,47,3,80,33,0
50,50,3,85,35,0
53,53,3,90,37,0
56,56,3,95,39,0
59,59,3,100,41,0
62,62,3,105,43,0
65,65,3,110,45,0
68,68,3,115,47,0
71,71,3,120,49,0
74,74,3,125,51,0
77,77,3,130,53,0
80,80,3,135,55,0
83,83,3,140,57,0
86,86,3,145,59,0
89,89,3,150,61,0
92,92,3,155,63,0
95,95,3,160,65,0
98,98,3,165,67,0
101,101,3,170,69,0
104,104,3,175,71,0
107,107,3,180,73,0
110,110,3,185,75,0
113,113,3,190,77,0
116,116,3,195,79,0
119,119,3,200,81,0
122,122,3,205,83,0
125,125,3,210,85,0
128,128,3,215,87,0
131,131,3,220,89,0
134,134,3,225,91,0
137,137,3,230,93,0
140,140,3,235,95,0
143,143,3,240,97,0
146,146,3,245,99,0
149,149,3,250,101,0
152,152,3,255,103,0
155,155,3,260,105,0
158,158,3,265,107,0
161,161,3,270,109,0
164,164,3,275,111,0
167,167,3,280,113,0
170,170,3,285,115,0
173,173,3,290,117,0
176,176,3,295,119,0
179,179,3,300,121,0
182,182,3,305,123,0
185,185,3,310,125,0
188,188,3,315,127,0
191,191,3,320,129,0
194,194,3,325,131,0
197,197,3,330,133,0
200,200,3,335,135,0
203,203,3,340,137,0
206,206,3,345,139,0
209,209,3,350,141,0
212,212,3,355,143,0
215,215,3,360,145,0
218,218,3,365,147,0
221,221,3,370,149,0
224,224,3,375,151,0
227,227,3,380,153,0
230,230,3,385,155,0
233,233,3,390,157,0
236,236,3,395,159,0
239,239,3,400,161,0
242,242,3,405,163,0
245,245,3,410,165,0
248,248,3,415,167,0
251,251,3,420,169,0
254,254,3,425,171,0
257,257,3,430,173,0
260,260,3,435,175,0
263,263,3,440,177,0
266,266,3,445,179,0
269,269,3,450,181,0
272,272,3,455,183,0
275,275,3,460,185,0
278,278,3,465,187,0
281,281,3,470,189,0
284,284,3,475,191,0
287,287,3,480,193,0
290,290,3,485,195,0
293,293,3,490,197,0
296,296,3,495,199,0
299,299,3,500,201,0
302,302,3,505,203,0
305,305,3,510,205,0
308,308,3,515,207,0
311,311,3,520,209,0
314,314,3,525,211,0
317,317,3,530,213,0
320,320,3,535,215,0
323,323,3,540,217,0
326,326,3,545,219,0
329,329,3,550,221,0
332,332,3,555,223,0
335,335,3,560,225,0
338,338,3,565,227,0
341,341,3,570,229,0
344,344,3,575,231,0
347,347,3,580,233,0
350,350,3,585,235,0
353,353,3,590,237,0
356,356,3,595,239,0
359,359,3,600,241,0
362,362,3,605,243,0
365,365,3,610,245,0
368,368,3,615,247,0
371,371,3,620,249,0
374,374,3,625,251,0
377,377,3,630,253,0
380,380,3,635,255,0
383,383,3,640,257,0
386,386,3,645,259,0
389,389,3,650,261,0
392,392,3,655,263,0
395,395,3,660,265,0
398,398,3,665,267,0
401,401,3,670,269,0
404,404,3,675,271,0
407,407,3,680,273,0
410,410,3,685,275,0
413,413,3,690,277,0
416,416,3,695,279,0
419,419,3,700,281,0
422,422,3,705,283,0
425,425,3,710,285,0
428,428,3,715,287,0
